year,wb_total,ncc_total
2012,111451879.72452602,113195951
2013,125644626.16537501,127606629
2014,137143907.76996,139143610
2015,148875577.910705,151017244
2016,152380798.934419,154529780
2017,143107638.22416,145059514
2018,170732372.66368002,172871094
2019,182767376.468061,184699409
2020,202599640.143978,204601313
2021,193930709.855448,195463898
2022,221183042.235012,222571568
2023,223563367.353692,224713710
2024,164056084.415124,164926599
